wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,Type
0.21865,0.154286,0.0877392,0.409938,0
0.22508,0.148571,0.0677888,0.440993,1
0.237942,0.0685714,0.0452982,0.248447,0
0.221865,0.154286,0.037622,0.391304,0
0.209003,0.102857,0.0237975,0.310559,0
0.231511,0.194286,0.0266059,0.403726,0
0.231511,0.0914286,0.0336517,0.285714,0
0.209003,0.108571,0.0336517,0.304348,0
0.221865,0.16,0.0237975,0.409938,0
0.215434,0.148571,0.0538534,0.440993,0
0.215434,0.12,0.00841439,0.329192,0
0.21865,0.148571,0.0490452,0.37267,0
0.221865,0.16,0.0168282,0.409938,0
0.205788,0.154286,0.0428927,0.459627,0
0.212219,0.165714,0.0797438,0.434782,0
0.212219,0.165714,0.0168282,0.434782,0
0.212219,0.154286,0.0303343,0.459627,0
0.212219,0.182857,0.0511614,0.440993,0
0.215434,0.137143,0.0252408,0.285714,0
0.228296,0.154286,0.0252408,0.391304,0
0.22508,0.148571,0.109496,0.440993,0
0.212219,0.137143,0.0452982,0.285714,0
0.22508,0.154286,0.0420602,0.409938,0
0.21865,0.188571,0,0.409937,0
0.212219,0.154286,0.0252408,0.459627,0
0.205788,0.182857,0.0677888,0.440993,0
0.228296,0.0971429,0.0303343,0.273292,0
0.212219,0.148571,0.00841439,0.37267,0
0.196141,0.131429,0.0538534,0.472049,0
0.22508,0.0914286,0.0564167,0.285714,0
0.212219,0.154286,0.0336517,0.459627,0
0.202572,0.131429,0.0336517,0.472049,0
0.212219,0.154286,0.034687,0.37267,0
0.231511,0.194286,0.0475819,0.403726,0
0.237942,0.188571,0.0677888,0.409937,0
0.215434,0.137143,0.0188143,0.285714,0
0.215434,0.108571,0.00841439,0.304348,0
0.212219,0.148571,0.0188143,0.37267,0
0.205788,0.108571,0.0252408,0.322981,0
0.212219,0.131429,0.0303343,0.347826,0
0.212219,0.154286,0.100806,0.496894,0
0.209003,0.12,0.0538534,0.304348,0
0.215434,0.102857,0.0188143,0.310559,0
0.212219,0.154286,0.0303343,0.37267,0
0.21865,0.2,0.0531932,0.478261,0
0.21865,0.12,0.0266059,0.304348,0
0.212219,0.108571,0.0475819,0.304348,0
0.209003,0.148571,0.0428927,0.37267,0
0.234727,0.205714,0.0490452,0.440993,0
0.237942,0.154286,0.0504659,0.496894,0
0.209003,0.102857,0,0.310558,0
0.205788,0.102857,0.0266059,0.310558,0
0.215434,0.108571,0.0188143,0.304348,0
0.209003,0.148571,0.0452982,0.37267,0
0.221865,0.0971429,0.0168282,0.273292,0
0.209003,0.102857,0.0188143,0.310558,0
0.212219,0.142857,0.0188143,0.397515,0
0.244373,0.205714,0.0490452,0.447205,0
0.215434,0.12,0.0188143,0.304348,0
0.205788,0.131429,0.0252408,0.347826,0
0.228296,0.148571,0.0303343,0.42236,0
0.215434,0.177143,0.0237975,0.447205,0
0.215434,0.177143,0.0336517,0.447205,0
0.237942,0.188571,0.0420602,0.453416,0
0.21865,0.171429,0.0775015,0.496894,0
0.205788,0.154286,0.135532,0.496894,0
0.212219,0.108571,0.0266059,0.304348,0
0.209003,0.137143,0.034687,0.397515,0
0.212219,0.148571,0.0336517,0.366459,0
0.212219,0.142857,0,0.397515,0
0.215434,0.108571,0.034687,0.304348,0
0.212219,0.12,0.0266059,0.341615,0
0.228296,0.205714,0.00841439,0.447205,0
0.202572,0.131429,0.0504659,0.472049,0
0.221865,0.12,0.0713398,0.341615,0
0.21865,0.171429,0.0336517,0.496894,0
0.212219,0.137143,0.0118996,0.397515,0
0.228296,0.205714,0.0908936,0.447205,0
0.234727,0.0285714,0.037622,0.260869,0
0.22508,0.131429,0.0188143,0.310559,0
0.209003,0.137143,0.0303343,0.397515,0
0.215434,0.171429,0.0452982,0.496894,0
0.209003,0.211429,0.058868,0.478261,0
0.241158,0.0628571,0.0775015,0.248447,0
0.215434,0.125714,0.00841439,0.335403,0
0.212219,0.125714,0.0118996,0.335403,0
0.221865,0.188571,0.0844659,0.453416,0
0.209003,0.154286,0.0511614,0.496894,0
0.205788,0.154286,0.0511614,0.496894,0
0.215434,0.125714,0.0118996,0.335403,0
0.22508,0.148571,0.034687,0.447205,0
0.234727,0.108571,0.0531932,0.298136,0
0.21865,0.114286,0.0266059,0.31677,0
0.221865,0.2,0.0336517,0.478261,0
0.21865,0.114286,0.037622,0.31677,0
0.21865,0.12,0.0188143,0.341615,0
0.215434,0.125714,0.058868,0.304347,0
0.209003,0.137143,0.0188143,0.397515,0
0.205788,0.142857,0.0420602,0.416149,0
0.228296,0.177143,0.0188143,0.447205,0
0.215434,0.131429,0.0336517,0.310559,0
0.215434,0.108571,0.0538534,0.31677,0
0.212219,0.137143,0.00841439,0.397515,0
0.22508,0.142857,0.0428927,0.416149,0
0.21865,0.177143,0.0857082,0.484472,0
0.215434,0.154286,0.112033,0.496894,0
0.21865,0.171429,0.0303343,0.496894,0
0.212219,0.125714,0.0118996,0.304347,0
0.21865,0.114286,0.0252408,0.329192,0
0.212219,0.125714,0.0420602,0.335403,0
0.250804,0.0857143,0.112033,0.279503,0
0.212219,0.125714,0.0188143,0.304347,0
0.212219,0.114286,0.0490452,0.329192,0
0.231511,0.0514286,0.0677888,0.260869,0
0.231511,0.0514286,0,0.260869,0
0.209003,0.137143,0.0511614,0.347826,0
0.21865,0.2,0.00841439,0.478261,0
0.212219,0.137143,0.0564167,0.31677,0
0.212219,0.12,0.034687,0.341615,0
0.209003,0.125714,0.0452982,0.335403,0
0.215434,0.154286,0.106899,0.496894,0
0.212219,0.142857,0.0266059,0.416149,0
0.209003,0.114286,0.0475819,0.329192,0
0.234727,0.0514286,0.0188143,0.260869,0
0.215434,0.114286,0.058868,0.31677,0
0.205788,0.114286,0.0266059,0.329192,0
0.209003,0.114286,0.0118996,0.329192,0
0.212219,0.137143,0.0564167,0.347826,0
0.202572,0.142857,0.059465,0.397515,0
0.212219,0.194286,0.0237975,0.503105,0
0.228296,0.0857143,0.0672661,0.279503,0
0.231511,0.0685714,0.0908936,0.285714,0
0.212219,0.137143,0.00841439,0.347826,0
0.212219,0.137143,0.0237975,0.347826,0
0.209003,0.142857,0.0656729,0.416149,0
0.21865,0.205714,0.00841439,0.447205,1
0.241158,0.205714,0.0656729,0.447205,0
